factor,R2(PC1),R2(PC2),R2(PC3)
MEM,0.8269614482119533,0.8681738910538767,0.8826322712621316
genotype,0.21900492722480452,0.21902484783693085,0.23924541508378222
diet,0.10392699299449143,0.09806509946534812,0.11345129750012352
gender,0.20840722778576612,0.218808403343913,0.2265670846579489
