subsystem,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
Butanoate metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taurine and hypotaurine metabolism,1.0,0.003815897435049176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07954671032467808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arginine and proline metabolism,1.0,0.3275263171942353,0.2123642639525648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cytochrome metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Steroid metabolism,1.0,0.09981012703214753,1.0,1.0,1.0,1.0,1.0,1.0,0.3908059935581927,1.0,0.06613750832707888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heme synthesis,1.0,1.0,1.0,1.0,0.09350670287825213,1.0,1.0,0.08661684271837555,1.0,0.1618950535517657,1.0,1.0,1.0,0.1250175826443859,1.0,1.0,0.1250175826443859,1.0,1.0,0.18497202333351515,1.0,0.20137819500514553,0.053807420240660764,1.0,1.0,1.0,1.0,1.0,0.053807420240660764,1.0,1.0,0.09807273595238075,1.0,0.3305331972945128,1.0,1.0
N-glycan degradation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blood group synthesis,1.0,1.0,0.009294613597556012,1.0,1.0,1.91399474047671e-09,1.0,1.0,1.0,0.010113437292795124,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.108180462480959e-11,2.994013925672334e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.08092008003766293
Glutamate metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pentose phosphate pathway,1.0,1.0,0.028798306102529092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cholesterol metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8541915147650405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fatty acid oxidation,1.0,0.9999984783563951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.349758185919541e-08,1.0,1.0,0.9959927502316985,0.9938282256015574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Transport, peroxisomal",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4750784581571176,1.0,1.0,0.6007033837805512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Transport, golgi apparatus",1.0,0.001512699287074093,0.40447088543639076,1.0,0.03567799168424435,0.07927238668806225,1.0,1.0,1.0,0.0162300906032099,0.5136554354683356,1.0,1.0,0.33606741986407973,0.00047481063085508257,1.0,0.06202246092301755,0.004228904153600221,1.0,0.0033106962338506074,0.001743628870892966,0.004644940761450722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.419242829398982e-07,1.0,1.0
Aminosugar metabolism,1.0,0.370646688204075,1.0,1.0,1.0,0.22394152292319602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phosphatidylinositol phosphate metabolism,1.0,0.4011781185654073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Urea cycle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Glycerophospholipid metabolism,1.0,0.9063873318858072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Citric acid cycle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pyruvate metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1781439719377489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bile acid synthesis,1.0,0.018772961952508882,3.8995362494631536e-11,1.0,0.00032822316913605487,0.0,1.0,0.00020821522844738372,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.014063201270037684,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0004344143587670102,0.0,0.0,1.0,0.0
Vitamin B2 metabolism,1.0,1.0,1.0,1.0,0.045118126291658234,1.0,1.0,0.0417118920960442,1.0,0.07970039298593334,1.0,1.0,1.0,0.06087420343871652,1.0,1.0,0.06087420343871652,1.0,1.0,0.0917053199043586,1.0,0.10034989307643638,0.025675159129791236,1.0,1.0,1.0,1.0,1.0,0.025675159129791236,1.0,1.0,0.04738305916978969,1.0,0.17197152413208872,1.0,1.0
Purine catabolism,1.0,1.0,0.03081883589693446,1.0,1.0,0.22394152292319602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1975990265778642,1.0,1.0,1.0,1.0,1.0,0.28620063896432124,0.031672710854159014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004105371927314305,1.0,1.0
Nucleotide interconversion,1.0,0.7093610277881521,0.0034840202475441284,1.0,1.0,0.3924476993441458,1.0,1.0,0.09363489668570757,0.4611841211805141,1.0,0.11193623969377775,1.0,0.11188052275635396,1.0,1.0,0.6958322786690774,0.06889012396246952,1.0,0.03312879892594456,0.00011430692827307798,0.590183208571906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12659372330832064,1.0,1.0,0.19689966733555664,0.06051091096100969,1.0,0.5735987513981466
