factor,R2(PC1),R2(PC2),R2(PC3)
genotype,0.28350181325331675,0.46815678245890224,0.437899028593438
diet,0.21919906468093053,0.43370590267197456,0.6009122863555141
gender,0.9600476375334104,0.41173125517783293,0.3887335385171353
