factor,R2(PC1),R2(PC2),R2(PC3)
genotype,0.33204959705343284,0.31327586130465646,0.22074880638707495
diet,0.17415707543699652,0.2953138693145523,0.14613004484997968
gender,0.2420204279217401,0.34687314888162085,0.20202353422241473
