factor,R2(PC1),R2(PC2),R2(PC3)
genotype,0.4236951358014622,0.24050241003493247,0.5175544679484103
diet,0.29436180712498694,0.18435941600962452,0.2451763862465834
gender,0.3840820198537249,0.9638524638387692,0.31071669333841745
