factor,R2(PC1),R2(PC2),R2(PC3)
genotype,0.37688423575111984,0.2474368924296933,0.5855607595749561
diet,0.1954695061072093,0.3493403704747525,0.29251475722383097
gender,0.6531428502872207,0.9626865136715594,0.41038567430347755
