factor,R2(PC1),R2(PC2),R2(PC3)
genotype,0.2546804735128393,0.2558350599721854,0.4335294594902931
diet,0.4499559577585896,0.20731777235947535,0.22241241543347653
gender,0.48264081403251197,0.32659280494171355,0.46206595372423903
