rxn,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
12HTACRtep,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
13DAMPPOX,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
13DAMPPte,0.12599344242474478,1.0,0.4201872525962873,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.9727246094746134,0.4700512461797075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,1.0,0.4641756056024611,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.9457242185615123,0.4641756056024611
14HMDZALThr,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
14HMDZhr,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
14HMDZitr,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
14MDZtev,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
17AHPRGNLONEte,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.222824469263682,0.45759228519484607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7973308355333761,1.0,1.0,0.20207170500292046,0.4539324080608482,1.0
17AHPRGSTRNte,0.12599344242474478,0.47400311143863083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.45759228519484607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7670076084198992,1.0,1.0,0.12491724816360747,0.4618637306526247,1.0,1.0,1.0,1.0,0.7973308355333761,1.0,1.0,0.11447991263949309,0.6657467377404527,0.971811938608152
18HARACHDte,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
18HARACHDtr,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
1HIBUP_SGLUhep,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
1HIBUP_Sitr,0.12599344242474478,1.0,0.4201872525962873,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.9727246094746134,0.4700512461797075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,1.0,0.4641756056024611,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.9457242185615123,0.4641756056024611
1HIBUP_Sthv,0.12599344242474478,1.0,0.4201872525962873,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.9727246094746134,0.4700512461797075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,1.0,0.4641756056024611,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.9457242185615123,0.4641756056024611
