rxn,F_WT_(LFnC:HFnC),F_WT_(LFnC<HFnC),F_WT_(LFnC>HFnC),F_WT_(LFnC:HFC),F_WT_(LFnC<HFC),F_WT_(LFnC>HFC),F_WT_(HFnC:HFC),F_WT_(HFnC<HFC),F_WT_(HFnC>HFC),F_KO_(LFnC:HFnC),F_KO_(LFnC<HFnC),F_KO_(LFnC>HFnC),F_KO_(LFnC:HFC),F_KO_(LFnC<HFC),F_KO_(LFnC>HFC),F_KO_(HFnC:HFC),F_KO_(HFnC<HFC),F_KO_(HFnC>HFC),F_(LFnC:HFnC),F_(LFnC<HFnC),F_(LFnC>HFnC),F_(LFnC:HFC),F_(LFnC<HFC),F_(LFnC>HFC),F_(HFnC:HFC),F_(HFnC<HFC),F_(HFnC>HFC),M_WT_(LFnC:HFnC),M_WT_(LFnC<HFnC),M_WT_(LFnC>HFnC),M_WT_(LFnC:HFC),M_WT_(LFnC<HFC),M_WT_(LFnC>HFC),M_WT_(HFnC:HFC),M_WT_(HFnC<HFC),M_WT_(HFnC>HFC),M_KO_(LFnC:HFnC),M_KO_(LFnC<HFnC),M_KO_(LFnC>HFnC),M_KO_(LFnC:HFC),M_KO_(LFnC<HFC),M_KO_(LFnC>HFC),M_KO_(HFnC:HFC),M_KO_(HFnC<HFC),M_KO_(HFnC>HFC),M_(LFnC:HFnC),M_(LFnC<HFnC),M_(LFnC>HFnC),M_(LFnC:HFC),M_(LFnC<HFC),M_(LFnC>HFC),M_(HFnC:HFC),M_(HFnC<HFC),M_(HFnC>HFC),WT_(LFnC:HFnC),WT_(LFnC<HFnC),WT_(LFnC>HFnC),WT_(LFnC:HFC),WT_(LFnC<HFC),WT_(LFnC>HFC),WT_(HFnC:HFC),WT_(HFnC<HFC),WT_(HFnC>HFC),KO_(LFnC:HFnC),KO_(LFnC<HFnC),KO_(LFnC>HFnC),KO_(LFnC:HFC),KO_(LFnC<HFC),KO_(LFnC>HFC),KO_(HFnC:HFC),KO_(HFnC<HFC),KO_(HFnC>HFC),(LFnC:HFnC),(LFnC<HFnC),(LFnC>HFnC),(LFnC:HFC),(LFnC<HFC),(LFnC>HFC),(HFnC:HFC),(HFnC<HFC),(HFnC>HFC)
1513TACRtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,1.0,0.9189647736408944,1.0,1.0,1.0,0.44173351269334693,0.895653921215258,1.0
1531TACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,1.0,1.0,1.0,0.44173351269334693,1.0,0.9000819358263554
1531TACRtev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,1.0,1.0,1.0,0.44173351269334693,1.0,0.9000819358263554
1531TALThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,1.0,1.0,1.0,0.44173351269334693,1.0,0.9000819358263554
15DMThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166762697073045,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3824004987936277,0.8686343138947452,1.0,0.44173351269334693,0.895653921215258,1.0
15DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,0.5220664147969398,1.0,1.0,0.7279270884381209,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,0.464126678453767,0.8686343138947452,1.0,0.635686714911465,0.895653921215258,0.9000819358263554
15DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,0.5220664147969398,1.0,1.0,0.7279270884381209,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,0.464126678453767,0.8686343138947452,1.0,0.635686714911465,0.895653921215258,0.9000819358263554
1PPDCRp,0.6027942359800285,1.0,1.0,0.7371010218913681,1.0,1.0,0.660540537788653,1.0,1.0,1.0,1.0,1.0,0.6463808961201228,1.0,1.0,0.6798504570842715,1.0,1.0,0.459937740332653,1.0,1.0,0.4886421276103077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166762697073045,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,0.3824004987936277,0.8686343138947452,1.0,0.4892565875242183,0.895653921215258,0.9000819358263554
2DR1PP,0.6027942359800285,1.0,1.0,0.7371010218913681,1.0,1.0,1.0,1.0,1.0,0.6308522259430628,1.0,1.0,0.6463808961201228,1.0,1.0,1.0,1.0,1.0,0.459937740332653,1.0,1.0,0.4886421276103077,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,1.0,1.0,1.0,0.6002108321115426,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,0.9189647736408944,0.3824004987936277,0.8686343138947452,0.9089760261013194,1.0,1.0,1.0
2HYDOGOAT3t,0.6027942359800285,1.0,0.0,1.0,1.0,1.0,0.6554564469236814,0.0,1.0,1.0,1.0,1.0,0.6463808961201228,1.0,0.0,0.6798504570842715,1.0,0.0,0.459937740332653,1.0,1.0,0.4886421276103077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,1.0,1.0,1.0,0.4166762697073045,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,1.0,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,0.9189647736408944,0.3824004987936277,0.8686343138947452,0.9089760261013194,0.4892565875242183,0.895653921215258,0.9000819358263554
2HYDOGte,0.6027942359800285,0.0,1.0,1.0,1.0,1.0,0.6554564469236814,1.0,0.0,1.0,1.0,1.0,0.6463808961201228,0.0,1.0,0.6798504570842715,0.0,1.0,0.459937740332653,1.0,1.0,0.4886421276103077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,1.0,1.0,1.0,0.4166762697073045,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,1.0,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,0.9189647736408944,0.3824004987936277,0.8686343138947452,0.9089760261013194,0.4892565875242183,0.895653921215258,0.9000819358263554
2MCITt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6308522259430628,1.0,1.0,0.6463808961201228,1.0,1.0,1.0,1.0,1.0,0.459937740332653,1.0,1.0,0.4886421276103077,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6111762983097857,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4085854683537645,1.0,1.0,0.5040593990775181,1.0,1.0,0.5370874847025571,1.0,1.0,0.4549654404371649,1.0,1.0,0.5538365746620962,1.0,1.0,0.4507020427356118,1.0,1.0,0.5326882438235278,1.0,1.0,0.48612297885486916,1.0,1.0,1.0,1.0,1.0,0.38774718988819595,0.8794299602433415,0.9189647736408944,0.3824004987936277,0.8686343138947452,0.9089760261013194,0.48132298281267527,0.895653921215258,0.9000819358263554
2OXOADPt,0.6027942359800285,1.0,1.0,0.7371010218913681,1.0,1.0,0.6554564469236814,1.0,1.0,1.0,1.0,1.0,0.6463808961201228,1.0,1.0,0.6798504570842715,1.0,1.0,0.459937740332653,1.0,1.0,0.7237153598647084,1.0,1.0,0.5946680075128624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,0.5535541271120946,1.0,1.0,1.0,1.0,1.0,0.5098476409808005,1.0,1.0,0.5040593990775181,1.0,1.0,1.0,1.0,1.0,0.5306681123754349,1.0,1.0,0.5721933228571159,1.0,1.0,0.4507020427356118,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,1.0,1.0,1.0,0.471006540211807,1.0,0.9089760261013194,0.4892565875242183,1.0,0.9000819358263554
31DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,1.0,0.9189647736408944,1.0,1.0,1.0,0.44173351269334693,0.895653921215258,1.0
31DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,1.0,0.9189647736408944,1.0,1.0,1.0,0.44173351269334693,0.895653921215258,1.0
